[07-Jun-2016 21:12:01 PRC] PHP Fatal error:  Class 'Redis' not found in /www/myqqnews/init.php on line 6
[07-Jun-2016 21:21:19 PRC] PHP Warning:  include_once(./lib/lib_mysql.php): failed to open stream: No such file or directory in /www/myqqnews/init.php on line 11
[07-Jun-2016 21:21:19 PRC] PHP Warning:  include_once(): Failed opening './lib/lib_mysql.php' for inclusion (include_path='.:/usr/local/php/lib/php') in /www/myqqnews/init.php on line 11
[07-Jun-2016 21:23:00 PRC] PHP Warning:  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given in /www/myqqnews/news.php on line 9
[07-Jun-2016 21:23:00 PRC] PHP Notice:  Undefined variable: db in /www/myqqnews/lib/lib_db.php on line 36
[07-Jun-2016 21:23:00 PRC] PHP Fatal error:  Call to a member function exe_sql() on a non-object in /www/myqqnews/lib/lib_db.php on line 36
[07-Jun-2016 21:25:49 PRC] PHP Warning:  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given in /www/myqqnews/news.php on line 9
[07-Jun-2016 21:25:49 PRC] PHP Warning:  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given in /www/myqqnews/lib/lib_db.php on line 38
[07-Jun-2016 21:26:46 PRC] PHP Fatal error:  Call to undefined function get_up_num_order() in /www/myqqnews/comments.php on line 7
[07-Jun-2016 21:27:02 PRC] PHP Warning:  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given in /www/myqqnews/lib/lib_db.php on line 27
[07-Jun-2016 21:27:02 PRC] PHP Notice:  Undefined variable: res in /www/myqqnews/lib/lib_db.php on line 30
